gml,vert1,vert2,weight,query,seed,max-bc,max-error,time-proposed,time-brandes,updated-path-pairs,updated-deps-pairs,updated-bc-verts,changed-bc-verts
data/road/road-oka-integer-distance.gml,2496997402,2496997412,80,insert,0,1.6071041873762218e-01,6.9388939039072284e-18,8.615870e-01,2.252471e+02,0,0,0,11497
data/road/road-oka-integer-distance.gml,2496997402,2496997419,58,insert,0,1.6071047799840885e-01,6.9388939039072284e-18,2.392179e+00,2.251922e+02,90884,772930,6264,11497
data/road/road-oka-integer-distance.gml,2496997393,2496997391,46,insert,0,1.6071041423161764e-01,1.3877787807814457e-17,3.896401e+00,2.258995e+02,611654,1036052,7148,11497
data/road/road-oka-integer-distance.gml,2496997434,2496997413,37,insert,0,1.6078960794372968e-01,6.9388939039072284e-18,3.871832e+00,2.263963e+02,218058,1537164,8083,11497
data/road/road-oka-integer-distance.gml,2496997434,2496997419,22,insert,0,1.6071041873762218e-01,6.9388939039072284e-18,4.190503e+00,2.264541e+02,471216,1348797,8078,11497
data/road/road-oka-integer-distance.gml,2496997434,2496997425,84,insert,0,1.6071041873762218e-01,6.9388939039072284e-18,3.315388e+00,2.251743e+02,401050,940176,5968,11497
data/road/road-oka-integer-distance.gml,2496997434,2496997421,45,insert,0,1.6071041873762218e-01,6.9388939039072284e-18,3.623645e+00,2.349348e+02,415202,1004358,6267,11497
data/road/road-oka-integer-distance.gml,2496997434,2496997427,97,insert,0,1.6071041873762218e-01,1.3877787807814457e-17,3.345176e+00,2.258863e+02,395664,915509,5808,11497
data/road/road-oka-integer-distance.gml,2496997434,4656736291,42,insert,0,1.6071033762954087e-01,6.9388939039072284e-18,3.649833e+00,2.246645e+02,520744,1028641,4507,11497
data/road/road-oka-integer-distance.gml,1786790589,1851169408,21,insert,0,1.6071041873762218e-01,6.9388939039072284e-18,8.596430e-01,2.252426e+02,0,0,0,11497
