n,p-or-m,type,seed,m,err-dm,err-es,time-brandes,time-dm,time-es
500,0.700000,random,2625944014,87521,6.467440e-21,6.290692e-26,0.530420,0.914112,1.542349
500,0.700000,random,2945712378,86951,6.419739e-21,6.068549e-26,0.571172,0.889320,1.570507
500,0.700000,random,2491373423,87247,6.201774e-21,6.472446e-26,0.543343,0.858940,1.740357
500,0.700000,random,1400969724,87363,5.956167e-21,6.492641e-26,0.520899,0.840237,1.779367
100,0.800000,random,1959541740,3953,2.198634e-26,1.333175e-28,0.003997,0.005651,0.003856
100,0.800000,random,2103339365,3962,8.103889e-26,1.017631e-28,0.011126,0.007969,0.005330
100,0.800000,random,1152676009,3928,9.456865e-26,4.417621e-29,0.004056,0.005570,0.003751
100,0.800000,random,396135934,4003,7.015577e-26,7.651951e-29,0.003989,0.005590,0.003281
100,0.800000,random,3131584320,3959,1.092904e-25,7.257520e-29,0.007761,0.011332,0.010813
100,0.800000,random,2871306891,3981,7.527863e-26,4.733165e-29,0.004989,0.005827,0.004579
100,0.800000,random,14951605,3931,1.081670e-25,1.167514e-28,0.004155,0.012801,0.003794
100,0.800000,random,4008403312,3958,1.123093e-25,9.860761e-29,0.004007,0.005510,0.004879
100,0.800000,random,3642837839,3935,8.093476e-26,7.415293e-29,0.004157,0.005775,0.003930
100,0.800000,random,296810532,3957,7.942409e-26,6.547546e-29,0.004041,0.005504,0.003734
500,0.700000,random,3544451837,86947,7.688153e-21,7.113632e-26,0.530552,0.911729,1.664155
300,0.800000,random,629750769,35869,3.913558e-24,4.266160e-27,0.102604,0.162163,0.191932
300,0.800000,random,2630545542,35982,7.239219e-25,4.051590e-27,0.102220,0.156209,0.179673
300,0.800000,random,71182258,36089,4.575217e-24,3.054469e-27,0.109676,0.170370,0.167119
300,0.800000,random,4127793966,35825,1.943665e-24,3.622449e-27,0.101459,0.156656,0.179335
300,0.800000,random,2738574404,35909,3.204239e-24,3.193309e-27,0.101140,0.157905,0.182605
300,0.800000,random,1746310259,36011,8.173546e-24,3.142822e-27,0.101755,0.157833,0.190772
300,0.800000,random,1095323476,35903,3.626905e-24,3.546719e-27,0.101421,0.154909,0.207574
300,0.800000,random,220107338,35904,3.446565e-24,4.051590e-27,0.101322,0.159921,0.200864
300,0.800000,random,4162468459,35749,1.705517e-24,3.837019e-27,0.102064,0.155264,0.187699
300,0.800000,random,3419252935,36076,9.058092e-24,2.865143e-27,0.107269,0.172263,0.174027
